country,year,sex,age_group,suicides,pop_age_group,suicides_rate,HDI for year, gdp_for_year,gdp_per_capita,unemployment_rate,terciary_rate
Australia,2015,female,15-24,110,1526305,7.21,,1.34903E+12,60656,11.9,118.6109
Australia,2015,male,15-24,281,1608990,17.46,,1.34903E+12,60656,14.2,118.6109
Australia,2015,female,25-54,413,4951358,8.341146005,,1.34903E+12,60656,5.2,118.6109
Australia,2015,male,25-54,1367,4911564,27.83227501,,1.34903E+12,60656,4.6,118.6109
Austria,2010,female,15-24,14,499638,2.8,0.879,3.91893E+11,49181,9.4,75.62378
Austria,2010,male,15-24,91,518657,17.55,0.879,3.91893E+11,49181,9.6,75.62378
Austria,2010,female,25-54,127,1830699,6.937240912,0.879,3.91893E+11,49181,4.2,75.62378
Austria,2010,male,25-54,410,1839593,22.2875386,0.879,3.91893E+11,49181,4.6,75.62378
Austria,2011,female,15-24,23,498172,4.62,0.881,4.3112E+11,53923,9.1,78.49945
Austria,2011,male,15-24,67,518095,12.93,0.881,4.3112E+11,53923,8.8,78.49945
Austria,2011,female,25-54,118,1830483,6.446386009,0.881,4.3112E+11,53923,4.1,78.49945
Austria,2011,male,25-54,433,1838282,23.55460152,0.881,4.3112E+11,53923,3.9,78.49945
Austria,2012,female,15-24,6,497838,1.21,0.884,4.09425E+11,50979,9.2,78.93891
Austria,2012,male,15-24,66,519503,12.7,0.884,4.09425E+11,50979,9.6,78.93891
Austria,2012,female,25-54,107,1831556,5.842027216,0.884,4.09425E+11,50979,4.3,78.93891
Austria,2012,male,25-54,431,1839569,23.42940113,0.884,4.09425E+11,50979,4.4,78.93891
Austria,2013,female,15-24,20,496526,4.03,0.884,4.30069E+11,53229,10,79.6554
Austria,2013,male,15-24,54,518852,10.41,0.884,4.30069E+11,53229,9.4,79.6554
Austria,2013,female,25-54,119,1835955,6.481640345,0.884,4.30069E+11,53229,4.8,79.6554
Austria,2013,male,25-54,392,1845639,21.23925643,0.884,4.30069E+11,53229,5,79.6554
Austria,2014,female,15-24,17,493605,3.44,0.885,4.41885E+11,54278,9.9,79.1587
Austria,2014,male,15-24,79,516580,15.29,0.885,4.41885E+11,54278,10.6,79.1587
Austria,2014,female,25-54,122,1842669,6.620830979,0.885,4.41885E+11,54278,5,79.1587
Austria,2014,male,25-54,421,1856330,22.67915726,0.885,4.41885E+11,54278,5.4,79.1587
Austria,2015,female,15-24,19,490742,3.87,,3.82066E+11,46484,10,80.71942
Austria,2015,male,15-24,61,519646,11.74,,3.82066E+11,46484,11.1,80.71942
Austria,2015,female,25-54,100,1849695,5.406296714,,3.82066E+11,46484,4.9,80.71942
Austria,2015,male,25-54,391,1870790,20.90026139,,3.82066E+11,46484,5.5,80.71942
Austria,2016,female,15-24,22,488020,4.51,,3.908E+11,46976,10.2,83.45495
Austria,2016,male,15-24,58,525977,11.03,,3.908E+11,46976,12.1,83.45495
Austria,2016,female,25-54,113,1859154,6.078033342,,3.908E+11,46976,5.1,83.45495
Austria,2016,male,25-54,346,1887124,18.33477821,,3.908E+11,46976,5.7,83.45495
Belgium,2000,female,15-24,38,612148,6.21,0.874,2.37905E+11,24592,20.3,58.16906
Belgium,2000,male,15-24,139,631207,22.02,0.874,2.37905E+11,24592,15.3,58.16906
Belgium,2000,female,25-54,322,2193592,14.67911991,0.874,2.37905E+11,24592,7.6,58.16906
Belgium,2000,male,25-54,854,2243036,38.07339695,0.874,2.37905E+11,24592,4.9,58.16906
Belgium,2005,female,15-24,26,624077,4.17,0.866,3.87366E+11,39124,22.1,61.08548
Belgium,2005,male,15-24,98,641284,15.28,0.866,3.87366E+11,39124,21,61.08548
Belgium,2005,female,25-54,284,2204651,12.88185749,0.866,3.87366E+11,39124,8.4,61.08548
Belgium,2005,male,25-54,838,2241855,37.37975917,0.866,3.87366E+11,39124,6.6,61.08548
Belgium,2010,female,15-24,32,647625,4.94,0.883,4.83548E+11,47355,22.4,67.82901
Belgium,2010,male,15-24,98,663725,14.77,0.883,4.83548E+11,47355,22.4,67.82901
Belgium,2010,female,25-54,293,2241550,13.07131226,0.883,4.83548E+11,47355,7.5,67.82901
